Year,1,2,3,4,5,6,7,8,9,10,11,12,Average
2022,1.39,1.39,1.39,1.39,24.77,24.77,24.77,24.77,93.43,93.43,93.43,93.43,39.86333333
2021,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32,-15.32
2020,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-12.43,-12.43,-12.43,-12.43,-11.87666667
2019,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6
2018,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9,-15.9
2017,-37.29,-37.29,-37.29,-37.29,-24.77,-24.77,-24.77,-24.77,-15.9,-15.9,-15.9,-15.9,-25.98666667
2016,-4.8,-4.8,-4.8,-4.8,-33.29,-33.29,-33.29,-33.29,-33.29,-33.29,-33.29,-33.29,-23.79333333
2015,58.96,58.96,58.96,58.96,49.61,49.61,49.61,49.61,46.38,46.38,-3.23,-3.23,43.38166667
2014,59,59,59,59,69,69,69,69,69,69,69,69,65.66666667
2013,52.04,52.04,52.04,52.04,46.92,46.92,46.92,46.92,54,54,54,54,50.98666667
2012,0,0,0,0,0,30,30,30,48,48,48,48,23.5
2011,86.88,86.88,86.88,86.88,95.81,95.81,-6,-6,-6,-6,-6,-6,41.92833333
2010,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55
2009,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55,92.55
2008,66.11,68.86,68.86,68.86,68.86,62.85,62.85,62.85,62.85,77.7,77.7,77.7,68.8375
2007,78.42,73.42,73.42,73.42,73.42,68.42,68.42,68.42,68.42,66.11,66.11,66.11,70.3425
2006,56.83,75.84,75.84,75.84,75.84,85.44,85.44,85.44,85.44,78.42,78.42,78.42,78.10083333
2005,43.28,43.28,43.28,43.28,43.28,46.83,46.83,46.83,46.83,56.83,56.83,56.83,47.85083333
2004,26.12,38.28,38.28,38.28,38.28,38.28,38.28,38.28,38.28,43.28,43.28,43.28,38.51666667
2003,21.95,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,26.12,25.7725
2002,22.77,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,21.95,22.01833333
2001,0,24.44,24.44,24.44,24.44,27.13,27.13,27.13,27.13,22.77,22.77,22.77,22.8825
2000,56.32,56.32,56.32,61.52,61.52,61.52,61.52,64.52,64.52,0,0,0,45.34
1999,50.71,50.71,50.71,32.61,32.61,32.61,32.61,37.92,37.92,37.92,37.92,56.32,40.88083333
1998,42.4,42.4,42.4,50.45,50.45,50.45,50.45,55.77,55.77,55.77,55.77,50.71,50.2325
1997,18.28,18.28,26.73,26.73,26.73,26.73,26.73,26.73,26.73,26.73,42.4,42.4,27.93333333
1996,18.1,18.1,18.1,22.87,22.87,22.5,25.82,25.82,25.82,20.42,25.6,25.6,22.635
1995,7.5,7.5,14.85,14.85,14.85,17.35,24.7,19.95,23.82,18.1,18.1,18.1,16.63916667
1994,6.91,6.91,3.56,0.36,9.53,2.8,2.8,-0.53,7.5,7.5,7.5,7.5,5.195
1993,8.39,8.39,8.39,5.32,5.32,5.32,3.24,-1.86,-1.86,-1.86,-1.86,-1.86,2.9225
1992,0,0,0,0,0,0,0,0,6.17,6.17,6.17,6.17,2.056666667